id,merger_name,zip_code
1,"中国,北京",
2,"中国,北京,北京市",100000
3,"中国,北京,北京市,东城区",100010
4,"中国,北京,北京市,西城区",100032
5,"中国,北京,北京市,朝阳区",100020
6,"中国,北京,北京市,丰台区",100071
7,"中国,北京,北京市,石景山区",100043
8,"中国,北京,北京市,海淀区",100089
9,"中国,北京,北京市,门头沟区",102300
10,"中国,北京,北京市,房山区",102488
11,"中国,北京,北京市,通州区",101149
12,"中国,北京,北京市,顺义区",101300
13,"中国,北京,北京市,昌平区",102200
14,"中国,北京,北京市,大兴区",102600
15,"中国,北京,北京市,怀柔区",101400
16,"中国,北京,北京市,平谷区",101200
17,"中国,北京,北京市,密云县",101500
18,"中国,北京,北京市,延庆县",102100
19,"中国,天津",
20,"中国,天津,天津市",300000
21,"中国,天津,天津市,和平区",300041
22,"中国,天津,天津市,河东区",300171
23,"中国,天津,天津市,河西区",300202
24,"中国,天津,天津市,南开区",300110
25,"中国,天津,天津市,河北区",300143
26,"中国,天津,天津市,红桥区",300131
27,"中国,天津,天津市,东丽区",300300
28,"中国,天津,天津市,西青区",300380
29,"中国,天津,天津市,津南区",300350
30,"中国,天津,天津市,北辰区",300400
31,"中国,天津,天津市,武清区",301700
32,"中国,天津,天津市,宝坻区",301800
33,"中国,天津,天津市,滨海新区",300451
34,"中国,天津,天津市,宁河县",301500
35,"中国,天津,天津市,静海县",301600
36,"中国,天津,天津市,蓟县",301900
37,"中国,河北省",
38,"中国,河北省,石家庄市",050011
39,"中国,河北省,石家庄市,长安区",050011
40,"中国,河北省,石家庄市,桥西区",050091
41,"中国,河北省,石家庄市,新华区",050051
42,"中国,河北省,石家庄市,井陉矿区",050100
43,"中国,河北省,石家庄市,裕华区",050031
44,"中国,河北省,石家庄市,藁城区",052160
45,"中国,河北省,石家庄市,鹿泉区",050200
46,"中国,河北省,石家庄市,栾城区",051430
47,"中国,河北省,石家庄市,井陉县",050300
48,"中国,河北省,石家庄市,正定县",050800
49,"中国,河北省,石家庄市,行唐县",050600
50,"中国,河北省,石家庄市,灵寿县",050500
